id,email,first_name,last_name,country,city,industry,number_of_employees,annual_revenue,job_title,seniority,deal_stage,deal_type,pipeline,amount,close_date,inbound_source,deal_source_of_the_deal,lifecycle_stage,lead_status,has_meeting,meeting_count,days_to_demo
41,carlos.flores27@outlook.com,Carlos,Flores,México,Monterrey,Telecomunicaciones,22,1006056,HR Consultant,Technical,prequalified,New Business,Outbound,,,LinkedIn,linkedin_paid_retargeting,marketing qualified lead,open,false,0,
42,monica.alvarez63@construccionsrl.com.ar,Monica,Álvarez,México,Puebla,Construcción,740,162079002,Co-Founder,C-Level / VP,decision maker engaged,New Business,Outbound,31828,2026-12-22,LinkedIn,linkedin_paid_retargeting,sales qualified lead,open deal,true,6,8
43,patricia.ramirez79@saludinc.co,Patricia,Ramírez,Argentina,Tucumán,Salud,268,65767711,HR Consultant,Technical,decision maker engaged,New Business,Inbound,4155,2024-07-28,Referral,referral_organic,sales qualified lead,open deal,true,1,15
44,jorge.hernandez72@educacioncorp.cl,Jorge,Hernández,Brasil,Porto Alegre,Educación,423,16874872,HR Business Partner,Manager,decision maker engaged,New Business,Partnerships,5158,2024-07-19,LinkedIn,linkedin_paid_awareness,sales qualified lead,open deal,true,4,41
45,miguel.fernandez4@outlook.com,Miguel,Fernández,Argentina,Tucumán,Construcción,8052,272212627,HR Systems Architect,Technical,lead,New Business,Outbound,,,Facebook,facebook_paid_prospecting,lead,new,false,0,
46,jimena.vega59@construcciontech.co,Jimena,Vega,Colombia,Cartagena,Construcción,432,34668972,Payroll Manager,Manager,champion engaged,New Business,Outbound,9258,,LinkedIn,linkedin_paid_retargeting,sales qualified lead,open deal,true,5,35
47,jorge.rivera91@saludinc.mx,Jorge,Rivera,México,Guadalajara,Salud,409,43057629,HR Analyst,IC,final negotiation,New Business,Partnerships,11716,2025-01-20,Facebook,facebook_paid_retargeting,opportunity,open deal,true,1,7
48,lucia.suarez20@gmail.com,Lucía,Suárez,Perú,Lima,Logística,361,23261010,People Operations Coordinator,IC,lost,New Business,Inbound,8663,2026-06-15,Google,google_paid_performance_max,lead,bad timing,true,6,5
49,ricardo.gonzalez42@educacionsolutions.com.ar,Ricardo,González,Brasil,São Paulo,Educación,704,162752308,Director General,C-Level / VP,champion engaged,New Business,Enterprise,27187,,Organic,organic_seo,sales qualified lead,open deal,false,0,
50,roberto.mendoza52@educacionsa.co,Roberto,Mendoza,Perú,Chiclayo,Educación,16,3670970,HR Coordinator,IC,prequalified,New Business,Inbound,,,LinkedIn,linkedin_paid_conversion,marketing qualified lead,open,true,2,13
51,jorge.ortiz19@gmail.com,Jorge,Ortiz,México,Ciudad de México,Salud,54,17570573,Co-Founder,C-Level / VP,won,New Business,Outbound,17596,2024-03-01,Google,google_paid_performance_max,customer,open deal,false,0,
52,elena.castro12@telecomunicacionessrl.cl,Elena,Castro,Argentina,Buenos Aires,Telecomunicaciones,777,83530011,CEO,C-Level / VP,pilot,New Business,Outbound,41373,2024-10-21,Event,event_webinar,opportunity,open deal,false,0,
53,laura.ortiz86@gmail.com,Laura,Ortiz,México,Monterrey,Manufactura,934,57459551,Payroll Analyst,IC,prequalified,New Business,Outbound,,,Referral,referral_organic,marketing qualified lead,open,false,0,
54,laura.gutierrez30@logisticasa.com,Laura,Gutiérrez,Colombia,Medellín,Logística,33,1528397,CEO,C-Level / VP,discovery,New Business,Outbound,,,LinkedIn,linkedin_paid_retargeting,marketing qualified lead,in progress,false,0,
55,florencia.martinez80@construcciontech.mx,Florencia,Martínez,Brasil,Rio de Janeiro,Construcción,48,3471613,HR Generalist,IC,discovery,New Business,Outbound,,,Referral,referral_organic,marketing qualified lead,in progress,false,0,
56,agustin.cruz92@logisticagroup.com.ar,Agustín,Cruz,Colombia,Medellín,Logística,51,13049430,Workforce Manager,Manager,lost,New Business,Inbound,7787,2026-12-04,Google,google_paid_search,lead,bad timing,true,4,13
57,martin.gomez61@saludgroup.co,Martín,Gómez,Brasil,Belo Horizonte,Salud,245,55869317,HR Director,Manager,champion engaged,New Business,Inbound,5072,,Facebook,facebook_paid_lookalike,sales qualified lead,open deal,false,0,
58,rodrigo.sanchez29@finanzassa.com.ar,Rodrigo,Sánchez,Perú,Piura,Finanzas,2763,715883730,HR Systems Architect,Technical,decision maker engaged,New Business,Outbound,37842,2024-03-07,Google,google_paid_search,sales qualified lead,open deal,true,1,11
59,lucia.castro66@saludcorp.co,Lucía,Castro,Argentina,Buenos Aires,Salud,22,1983757,CTO,C-Level / VP,demo,New Business,Inbound,17949,,Google,google_paid_performance_max,sales qualified lead,open deal,false,0,
60,andrea.rivera77@outlook.com,Andrea,Rivera,España,Sevilla,Educación,135,10441915,HR Coordinator,IC,lead,New Business,Inbound,,,Referral,referral_organic,lead,new,false,0,
61,fernando.romero86@construccioninc.mx,Fernando,Romero,Brasil,Porto Alegre,Construcción,140,7792728,Director General,C-Level / VP,champion engaged,New Business,Inbound,23607,,LinkedIn,linkedin_paid_retargeting,sales qualified lead,open deal,false,0,
62,vanessa.suarez23@saludsrl.cl,Vanessa,Suárez,Colombia,Medellín,Salud,133,12025695,People Operations Coordinator,IC,won,New Business,Outbound,14331,2024-12-30,Instagram,instagram_paid_stories,customer,open deal,true,3,33
63,jimena.castro84@logisticainc.cl,Jimena,Castro,México,Guadalajara,Logística,188,10795662,People Manager,Manager,discovery,New Business,Outbound,,,LinkedIn,linkedin_paid_conversion,marketing qualified lead,in progress,false,0,
64,diego.ortiz23@retailsa.com.ar,Diego,Ortiz,Brasil,São Paulo,Retail,140,16619854,CTO,C-Level / VP,final negotiation,New Business,Inbound,29424,2024-12-10,LinkedIn,linkedin_paid_awareness,opportunity,open deal,false,0,
65,javier.flores6@tecnologiatech.mx,Javier,Flores,Chile,Concepción,Tecnología,1162,805207279,Operations Manager,Manager,champion engaged,New Business,Outbound,19618,,Facebook,facebook_paid_prospecting,sales qualified lead,open deal,true,2,43
66,paola.medina66@logisticainc.co,Paola,Medina,Colombia,Cali,Logística,629,139495357,People Operations Manager,Manager,pilot,New Business,Outbound,25080,2026-06-13,LinkedIn,linkedin_paid_conversion,opportunity,open deal,false,0,
67,claudia.mendoza83@saludinc.com.ar,Claudia,Mendoza,México,Puebla,Salud,18,3542188,People Operations Coordinator,IC,pilot,New Business,Inbound,4149,2025-12-09,Instagram,instagram_paid_reels,opportunity,open deal,true,8,12
68,claudia.reyes7@educaciontech.mx,Claudia,Reyes,Colombia,Cali,Educación,877,77418261,VP of People,C-Level / VP,discovery,New Business,Outbound,,,Google,google_paid_display,marketing qualified lead,open,true,2,22
69,jorge.gonzalez12@saludtech.com,Jorge,González,Chile,Antofagasta,Salud,35,4492795,Benefits Coordinator,IC,decision maker engaged,New Business,Partnerships,10226,2026-01-28,LinkedIn,linkedin_paid_conversion,sales qualified lead,open deal,false,0,
70,eduardo.hernandez84@alimentaciongroup.co,Eduardo,Hernández,Colombia,Cartagena,Alimentación,2237,765209124,Benefits Coordinator,IC,approaching,New Business,Outbound,,,LinkedIn,linkedin_paid_retargeting,lead,open,true,1,12
71,nicolas.navarro82@educacionsolutions.co,Nicolás,Navarro,Argentina,Buenos Aires,Educación,74,9242147,People Operations Coordinator,IC,pilot,New Business,Inbound,8776,2024-12-23,Organic,organic_seo,opportunity,open deal,true,1,2
72,ricardo.jimenez21@gmail.com,Ricardo,Jiménez,Brasil,Curitiba,Construcción,227,62078390,HR Generalist,IC,prequalified,New Business,Partnerships,,,Referral,referral_organic,marketing qualified lead,in progress,false,0,
73,sergio.rodriguez72@finanzassa.cl,Sergio,Rodríguez,Perú,Arequipa,Finanzas,122,12887399,Co-Founder,C-Level / VP,discovery,New Business,Inbound,,,LinkedIn,linkedin_paid_retargeting,marketing qualified lead,in progress,false,0,
74,claudia.morales12@outlook.com,Claudia,Morales,España,Barcelona,Alimentación,16,4151392,HR Analyst,IC,discovery,New Business,Outbound,,,Organic,organic_seo,marketing qualified lead,open,false,0,
75,santiago.ramos6@logisticagroup.cl,Santiago,Ramos,Argentina,Buenos Aires,Logística,933,175264091,CTO,C-Level / VP,final negotiation,New Business,Enterprise,72365,2025-12-08,LinkedIn,linkedin_paid_retargeting,opportunity,open deal,true,4,36
76,vanessa.vargas63@outlook.com,Vanessa,Vargas,Brasil,São Paulo,Educación,1852,636082431,HR Director,Manager,decision maker engaged,New Business,Enterprise,19107,2026-09-10,Facebook,facebook_paid_retargeting,sales qualified lead,open deal,true,6,13
77,rodrigo.gomez87@gmail.com,Rodrigo,Gómez,Chile,Santiago,Manufactura,11,1281959,Chief People Officer,C-Level / VP,lost,New Business,Partnerships,19278,2024-06-24,Referral,referral_organic,lead,bad timing,true,1,20
78,diego.munoz75@retailtech.co,Diego,Muñoz,España,Valencia,Retail,274,11209395,Benefits Coordinator,IC,won,New Business,Inbound,10224,2026-02-06,Facebook,facebook_paid_lookalike,customer,open deal,true,6,11
79,pablo.cruz79@finanzascorp.com,Pablo,Cruz,México,Guadalajara,Finanzas,4206,628481140,Recruiter,IC,decision maker engaged,New Business,Enterprise,18866,2024-11-09,Event,event_demo_day,sales qualified lead,open deal,false,0,
80,andrea.morales6@outlook.com,Andrea,Morales,México,Puebla,Telecomunicaciones,29,4319780,HR Systems Architect,Technical,won,New Business,Inbound,8107,2024-04-29,Facebook,facebook_paid_lookalike,customer,open deal,true,7,6
81,laura.jimenez47@logisticatech.com.ar,Laura,Jiménez,Brasil,Curitiba,Logística,601,129251507,HR Business Partner,Manager,pilot,New Business,Outbound,10486,2024-10-16,Organic,organic_seo,opportunity,open deal,true,5,44
82,martin.castro9@saludtech.cl,Martín,Castro,Perú,Lima,Salud,179,12269317,COO,C-Level / VP,approaching,New Business,Inbound,,,Organic,organic_seo,lead,open,false,0,
83,rafael.rojas16@tecnologiagroup.com.ar,Rafael,Rojas,México,Ciudad de México,Tecnología,7290,460722570,Payroll Analyst,IC,pilot,New Business,Outbound,26240,2026-10-27,Organic,organic_seo,opportunity,open deal,true,2,43
84,eduardo.diaz65@alimentacionsolutions.co,Eduardo,Díaz,España,Bilbao,Alimentación,225,14361152,People Analytics Specialist,Technical,won,New Business,Outbound,7434,2024-08-10,LinkedIn,linkedin_paid_conversion,customer,open deal,true,5,2
85,paola.gonzalez9@gmail.com,Paola,González,Colombia,Bogotá,Telecomunicaciones,80,2293146,Talent Acquisition Specialist,IC,approaching,New Business,Partnerships,,,Referral,referral_organic,lead,open,false,0,
86,ana.aguilar2@finanzasinc.mx,Ana,Aguilar,Chile,Concepción,Finanzas,497,47717018,Employee Experience Manager,Manager,pilot,New Business,Partnerships,5455,2026-07-13,Instagram,instagram_paid_stories,opportunity,open deal,false,0,
87,carlos.vega10@gmail.com,Carlos,Vega,Argentina,Buenos Aires,Telecomunicaciones,144,4299490,HR Technology Consultant,Technical,pilot,New Business,Inbound,4778,2025-07-23,LinkedIn,linkedin_paid_awareness,opportunity,open deal,false,0,
88,valentina.ramos92@saludcorp.mx,Valentina,Ramos,Argentina,Tucumán,Salud,24,4330058,HR Generalist,IC,lead,New Business,Partnerships,,,Facebook,facebook_paid_prospecting,lead,open,false,0,
89,veronica.suarez65@outlook.com,Verónica,Suárez,Brasil,Porto Alegre,Salud,118,7216660,Workforce Manager,Manager,final negotiation,New Business,Partnerships,12118,2026-03-21,LinkedIn,linkedin_paid_conversion,opportunity,open deal,false,0,
90,javier.martinez69@gmail.com,Javier,Martínez,Brasil,Rio de Janeiro,Manufactura,356,65875744,Director General,C-Level / VP,final negotiation,New Business,Partnerships,34755,2024-07-22,Facebook,facebook_paid_prospecting,opportunity,open deal,true,2,3
91,camila.flores61@educacioninc.co,Camila,Flores,México,Monterrey,Educación,393,16910081,VP of Operations,C-Level / VP,champion engaged,New Business,Partnerships,28878,,Event,event_conference,sales qualified lead,open deal,true,5,41
92,ricardo.castro39@tecnologiasrl.mx,Ricardo,Castro,Chile,Antofagasta,Tecnología,452,73416828,Compensation & Benefits Manager,Manager,prequalified,New Business,Partnerships,,,Facebook,facebook_paid_retargeting,marketing qualified lead,open,false,0,
93,vanessa.navarro13@gmail.com,Vanessa,Navarro,España,Madrid,Tecnología,227,66104718,HRIS Specialist,Technical,champion engaged,New Business,Inbound,4502,,Google,google_paid_search,sales qualified lead,open deal,true,2,26
94,fernando.munoz33@gmail.com,Fernando,Muñoz,Colombia,Bogotá,Tecnología,488,69178693,Talent Acquisition Manager,Manager,pilot,New Business,Inbound,8840,2026-11-05,LinkedIn,linkedin_paid_conversion,opportunity,open deal,true,6,45
95,alejandro.diaz89@logisticasrl.com.ar,Alejandro,Díaz,España,Bilbao,Logística,31,2986338,People Operations Coordinator,IC,approaching,New Business,Outbound,,,Instagram,instagram_paid_reels,lead,new,false,0,
96,monica.gutierrez69@retailgroup.com,Monica,Gutiérrez,Argentina,Tucumán,Retail,160,9265304,Founder & CEO,C-Level / VP,approaching,New Business,Outbound,,,Facebook,facebook_paid_prospecting,lead,new,false,0,
97,miguel.rojas69@outlook.com,Miguel,Rojas,México,Puebla,Alimentación,30,4347373,Founder & CEO,C-Level / VP,discovery,New Business,Partnerships,,,LinkedIn,linkedin_paid_conversion,marketing qualified lead,open,true,4,43
98,paola.vargas4@saludtech.cl,Paola,Vargas,Brasil,Curitiba,Salud,456,13532973,Organizational Development Specialist,Technical,demo,New Business,Inbound,3821,,LinkedIn,linkedin_paid_conversion,sales qualified lead,open deal,true,4,10
99,roberto.vega38@telecomunicacionessrl.com,Roberto,Vega,México,Tijuana,Telecomunicaciones,704,197451426,HR Technology Consultant,Technical,discovery,New Business,Enterprise,,,Event,event_demo_day,marketing qualified lead,in progress,true,2,12
100,gabriela.herrera15@finanzasinc.com,Gabriela,Herrera,Argentina,Córdoba,Finanzas,42,1167139,HR Business Partner,Manager,won,New Business,Partnerships,5050,2024-11-15,Facebook,facebook_paid_prospecting,customer,open deal,true,8,36
101,hernan.alvarez16@educacionsolutions.co,Hernán,Álvarez,Argentina,Buenos Aires,Educación,931,74848616,People Manager,Manager,prequalified,New Business,Outbound,,,Instagram,instagram_paid_reels,marketing qualified lead,open,true,2,9
102,carolina.jimenez58@gmail.com,Carolina,Jiménez,México,Tijuana,Logística,7953,930699654,HR Manager,Manager,discovery,New Business,Outbound,,,LinkedIn,linkedin_paid_conversion,marketing qualified lead,in progress,false,0,
103,valeria.munoz77@educacioncorp.mx,Valeria,Muñoz,Argentina,Tucumán,Educación,252,25107844,Recruiter,IC,lead,New Business,Outbound,,,Facebook,facebook_paid_retargeting,lead,open,false,0,
104,martin.martinez82@logisticasa.co,Martín,Martínez,México,Monterrey,Logística,416,34140018,HR Generalist,IC,won,New Business,Partnerships,10593,2025-03-10,Referral,referral_organic,customer,open deal,true,2,18
105,patricia.gonzalez86@saludsrl.cl,Patricia,González,Argentina,Rosario,Salud,31,3328116,Organizational Development Specialist,Technical,final negotiation,New Business,Partnerships,5602,2025-11-04,Instagram,instagram_paid_stories,opportunity,open deal,false,0,
106,lucia.chavez25@saludcorp.co,Lucía,Chávez,Perú,Arequipa,Salud,797,140446570,HR Manager,Manager,demo,New Business,Outbound,16135,,LinkedIn,linkedin_paid_retargeting,sales qualified lead,open deal,false,0,
107,jimena.lopez44@outlook.com,Jimena,López,México,Guadalajara,Manufactura,197,5441884,CFO,C-Level / VP,prequalified,New Business,Partnerships,,,Referral,referral_organic,marketing qualified lead,open,true,3,40
108,monica.chavez82@gmail.com,Monica,Chávez,España,Madrid,Educación,408,15868498,HR Manager,Manager,won,New Business,Inbound,9602,2025-09-06,Google,google_paid_performance_max,customer,open deal,true,4,20
109,carlos.lopez50@manufacturatech.com,Carlos,López,Chile,Valparaíso,Manufactura,9171,293272492,Chief People Officer,C-Level / VP,prequalified,New Business,Outbound,,,Facebook,facebook_paid_lookalike,marketing qualified lead,in progress,false,0,
110,rafael.reyes81@outlook.com,Rafael,Reyes,México,Monterrey,Alimentación,286,58939375,People Operations Coordinator,IC,won,Expansion,Outbound,12771,2024-08-06,Google,google_paid_search,customer,open deal,true,4,10
111,jorge.munoz38@telecomunicacionessrl.com.ar,Jorge,Muñoz,Perú,Trujillo,Telecomunicaciones,248,33134958,CEO,C-Level / VP,discovery,New Business,Partnerships,,,LinkedIn,linkedin_paid_awareness,marketing qualified lead,in progress,false,0,
112,fernando.castro43@educacionsolutions.cl,Fernando,Castro,México,Tijuana,Educación,8293,716651495,Director General,C-Level / VP,won,New Business,Enterprise,41688,2024-06-29,Google,google_paid_performance_max,customer,open deal,true,1,29
113,rafael.cabrera97@tecnologiasrl.co,Rafael,Cabrera,Chile,Antofagasta,Tecnología,361,29479123,HR Analyst,IC,lost,New Business,Inbound,7298,2025-02-11,Referral,referral_organic,lead,bad timing,true,3,42
114,luis.cabrera72@educaciongroup.mx,Luis,Cabrera,Brasil,Curitiba,Educación,42,762633,People Operations Coordinator,IC,discovery,New Business,Partnerships,,,LinkedIn,linkedin_paid_retargeting,marketing qualified lead,open,false,0,
115,monica.flores75@outlook.com,Monica,Flores,Chile,Antofagasta,Educación,324,77271174,Compensation & Benefits Manager,Manager,lead,New Business,Outbound,,,Instagram,instagram_paid_reels,lead,new,false,0,
116,nicolas.castro67@telecomunicacionessa.co,Nicolás,Castro,Argentina,Rosario,Telecomunicaciones,20,3823724,Payroll Analyst,IC,approaching,New Business,Inbound,,,Facebook,facebook_paid_retargeting,lead,new,false,0,
117,agustin.aguilar69@telecomunicacionessrl.mx,Agustín,Aguilar,Chile,La Serena,Telecomunicaciones,6463,929093933,Training Manager,Manager,pilot,New Business,Outbound,16496,2024-04-07,Organic,organic_seo,opportunity,open deal,true,8,42
118,diego.rivera29@manufacturainc.com,Diego,Rivera,España,Sevilla,Manufactura,450,45180479,CFO,C-Level / VP,discovery,New Business,Outbound,,,Facebook,facebook_paid_retargeting,marketing qualified lead,in progress,false,0,
119,agustin.rivera46@educacioninc.com,Agustín,Rivera,Brasil,Porto Alegre,Educación,217,23722813,Organizational Development Specialist,Technical,approaching,New Business,Partnerships,,,Facebook,facebook_paid_prospecting,lead,new,false,0,
120,andrea.martinez12@manufacturacorp.cl,Andrea,Martínez,Brasil,São Paulo,Manufactura,316,51145080,Training Manager,Manager,won,New Business,Partnerships,13884,2024-10-14,Instagram,instagram_paid_reels,customer,open deal,true,1,20
121,martin.flores47@gmail.com,Martín,Flores,España,Madrid,Retail,351,50989954,HR Manager,Manager,approaching,New Business,Inbound,,,Google,google_paid_search,lead,new,false,0,
